"Case ID","Entity ID","Entity Name","Sector Name","ISIC Code","ISIC Description","Group ID","Client Group Name","Country of Domicile","Case Status","Ageing","Cancellation Reason","CRA Status","Created On","Modified On","Entity Classification","Review Type","Review Subtype","Maker PSID","Maker Name","Climate Risk Grading Status","Physical Risk BRAG","Transition Risk BRAG","Advisor PSID","Advisor Name","Date of submission to Climate Risk Advisor","Date of Rejection by Climate Risk Advisor","Approver Approved On","Approver Name","Approver PSID","Approver Rejected On","Assessment Type","Date of submission to RM","RM Rejected On","RM Recommended On","RM PSID","RM Name","RM Approved On","Primary Booking Location Country","Questionnaire Version","Case Assessment Review Reason","Current Aassignee Name","Current Assignee PSID","Checker Name","Checker PSID","CA Name","CA PSID","Case Initiator Name","Case Initiator Role","Case Initiator PSID","Date of submission to Checker","Date of Rejection by Checker","Total no. of days at initiation before acceptance by Maker","Total no. of days with Maker Team","Total no. of days with Checker Team","Total no. of days with Climate Risk Advisor Team","Total no. of days with RM","Total no. of days with Climate Risk Approver","Total Turnaround Time (TAT) for Case","Total no. of rejections by Checker","Total no. of rejections by Climate Risk Advisor","Total no. of rejections by RM","Total no. of rejections by Climate Risk Approver"
"10001","11219608","LNAME11219608","Food, Beverage & Tobacco","","","990021603","GRP NAME 990021603","BANGLADESH","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10002","11004413","COFCO INTERNATIONAL SINGAPORE PTE. LTD.","Commodity Traders","","","990032657","COFCO CORPORATION","CHINA","Approved","","","Completed","28/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10003","11054444","LNAME11054444","Commodity Traders","","","990032657","GRP NAME 990032657","NETHERLANDS","Approved","","","Completed","31/12/2021 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","GB","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10004","11217293","LNAME11217293","Commodity Traders","","","990032657","GRP NAME 990032657","CHINA","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10005","11165087","COFCO TRADING (HONG KONG) LIMITED","Commodity Traders","","","990032657","COFCO CORPORATION","CHINA","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10006","11019413","LNAME11019413","Consumer Durables & Apparel","","","990001850","GRP NAME 990001850","HONG KONG","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10007","11245696","CHINA PLATINUM COMPANY","Commodity Traders","","","990059870","CNACC","CHINA","Approved","","","Completed","30/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10008","11025894","L NAME 11025894","Commodity Traders","","","990054881","GRP NAME 990054881","HONG KONG","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10009","13715477","LNAME13715477","Commodity Traders","","","990054881","GRP NAME 990054881","HONG KONG","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10010","11023336","KOON WAH MIRROR HOLDINGS LIMITED","CRE","","","990002206","KOON WAH","HONG KONG","Approved","","","Completed","31/01/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
