"Case ID","Entity ID","Client Name","CRQ Version","Section Code","Question Number","Question Text","Answer","Score","CTP Score","Case Approved Date"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.1","Does the company identify 'transition risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","Yes, the company acknowledges transition risks but for their direct business operations only","2.5","2.5","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.2","Are there management and/or executive incentives in place, that relate to any climate change action?","No","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.3","Has the company nominated a board member or board committee with explicit responsibility for oversight of climate change risk affecting the business activities? ","No","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.4","Does the company report its Scope 1,  2 and 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions)?","No - Company does not report any GHG emissions","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.5","Has the company set quantitative targets for reducing its Scope 1, 2 or 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions) or any other quantifiable or long-term commitment(s) (Net-Zero) to action on climate change?","Yes, scope 1, 2 and 3 targets||Long-term commitments only","16","16","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.6","Has the company set out a roadmap to change parts or all of its core business model / operations, to lower carbon options in order to reduce the emissions (or emissions intensity) of the entity?","Yes - Other changes not affecting core operations(e.g. Solar panels, smart meters, electric logistic vehicles)||Yes - Planned change in production operations: Lower emission fuel types (e.g. Greening of energy mix)","15","15","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.6.1","With reference to the the plans made in Q5.6, will they have a meaningful impact on the core operating emissions of the company?","No - They will not have an impact - non core changes only","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.6.2","With reference to the the plans made in Q5.6, has the company already made investment into the mentioned plans to transition to a less carbon intensive environment?","Yes -  Direct capital investment made toward the change","5","5","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.7","Has the company evaluated their transition strategy using climate change scenario modelling?","No","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","CTP3","5.8","Does the company use Internal Carbon Pricing for Strategic Planning and Analysis?","No mention of Carbon Pricing being used","0","0","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","DND3","1.1","Does the company publish Climate Risk related disclosures (within Annual Reports, Sustainability / CSR Reports, ESG Reports, TCFD Report, Website), and are those disclosures TCFD-aligned?","Yes - Please see detailed source table","","","04/27/2025"
