"Case ID","Approved Date","Approver Name","Approver PSID","Assessment Status","Assessment Type","Assignee Team","Assignee Name","Assignee PSID","Booking Location","Creation Date","Modified Date","Case Status","Case Type","Client LEID","Client Name","Domicile Country","Group Name","ISIC Code","ISIC Description","Last Modified Staff Name","Last Modified PSID","Recommended Rating","RSRMA Rating","Submitter Name","Submitter PSID","Submitter Team","Version"
"1500","04/12/2022 03:08:21","","1521617","Completed","RSRMA","","","","HK","04/12/2022 02:57:15","04/12/2022 03:08:21","Approved","New","11168421","SHUI ON DEVELOPMENT (HOLDING) LIMITED","CN","SHUI ON","8414","REAL ESTATE DEVELOPMENT - RESIDENTIAL","","1521617","Very Low","Very Low","","1521617","RSRMA Maker","02"
"1501","06/12/2022 03:38:34","","1508100","Completed","RSRMA","","","","SG","04/12/2022 03:33:50","06/12/2022 03:38:34","Approved","New","13902743","OUYEEL SINGAPORE PTE. LTD.","SG","BAOWU GROUP","6123","Wholesale of metals and metal ores","","1508100","Very Low","Very Low","","1508100","RSRMA Maker","02"
"1502","09/12/2022 11:47:48","","1445304","Completed","RSRMA","","","","AU","05/12/2022 05:08:51","09/12/2022 11:47:48","Approved","New","11090577","QANTAS AIRWAYS LIMITED","AU","QANTAS AIRWAYS LIMITED","7131","Passenger air transport","","1445304","","","","1192245","RSRMA Maker","02"
"1503","05/12/2022 05:26:06","","1554368","Completed","RSRMA","","","","TW","05/12/2022 05:11:37","05/12/2022 05:26:06","Approved","New","11287729","UNIVERSAL GLOBAL TECHNOLOGY CO., LTD.","CN","ASE GROUP","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","","1554368","Low","Low","","1554368","RSRMA Maker","02"
"1504","","","","In Progress","RSRMA","Maker","","","SG","05/12/2022 06:14:47","05/12/2022 06:15:18","Make in Progress","New","13628454","MJL (S) PTE. LTD.","SG","East Coast Group","4020","GAS MFR & DISTRIBUTION","","","","","","1641852","RSRMA Maker","02"
"1505","05/12/2022 07:39:34","","1606079","Completed","RSRMA","","","","SG","05/12/2022 07:23:06","05/12/2022 07:39:34","Approved","New","11003546","TOLL LOGISTICS (ASIA) LIMITED","SG","JAPAN POST CO., LTD. GROUP","7113","FREIGHT TRANSPORT BY ROAD","","1606079","Very Low","Very Low","","1606079","RSRMA Maker","02"
"1506","05/12/2022 07:58:01","","1287673","Completed","RSRMA","","","","CN","05/12/2022 07:37:40","05/12/2022 07:58:01","Approved","New","13906185","TCL Zhonghuan Renewable Energy Technology Co., Ltd.","CN","TCL GROUP","3844","MFR OF SEMI-CONDUCTOR DEVICES","","1287673","Very Low","Very Low","","1287673","RSRMA Maker","02"
"1507","04/01/2023 07:28:24","","1607396","Completed","RSRMA","","","","HK","05/12/2022 07:45:14","04/01/2023 07:28:24","Approved","New","11156666","KOSOKU INVESTMENT (CHINA) LIMITED","HK","KOSOKU PAPER","6136","PAPER PAPER & CELLOPHANE PRODUCTS & STATIONERY,,,","","1607396","Very Low","Very Low","","1607396","RSRMA Maker","02"
"1508","05/12/2022 08:12:21","","1606079","Completed","RSRMA","","","","SG","05/12/2022 08:01:58","05/12/2022 08:12:21","Approved","Adhoc Review","11003546","TOLL LOGISTICS (ASIA) LIMITED","SG","JAPAN POST CO., LTD. GROUP","7113","FREIGHT TRANSPORT BY ROAD","","1606079","Very Low","Very Low","","1606079","RSRMA Maker","02"
"1509","05/12/2022 08:20:43","","1287673","Completed","RSRMA","","","","CN","05/12/2022 08:12:29","05/12/2022 08:20:43","Approved","Adhoc Review","13906185","TCL Zhonghuan Renewable Energy Technology Co., Ltd.","CN","TCL GROUP","3844","MFR OF SEMI-CONDUCTOR DEVICES","","1287673","Very Low","Very Low","","1287673","RSRMA Maker","02"
